"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight"
"5ed42f400dccf4480fa1","TOGGLE",150,-10,1,"Distance","4954.00000002701",30,"meters",0,0,1073.00000003306,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",15,-10,1,"Heading","2677.99999995623",10,"",0,0,1027.99999999115,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",50,-30,6,"Distance","2201.00000000093",20,"meters",0,842.000000004191,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",50,0,6,"Heading","3047.00000002049",20,"",0,1064.00000001304,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",200,-20,3,"Distance","2860.99999997532",40,"meters",0,1425.00000004657,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",50,-10,6,"Distance","2560.99999998696",20,"meters",0,1023.0000000447,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",75,-10,6,"Heading","2789.00000004796",30,"",1,981.000000028871,1824.00000002235,"SL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",15,0,1,"Distance","1733.00000000745",10,"meters",0,0,849.999999976717,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",75,-10,6,"Distance","2573.99999996414",20,"meters",0,0,1875,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",75,0,6,"Heading","1425.99999997765",40,"",0,0,1066.00000004983,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",75,-10,3,"Heading","1614.99999999069",20,"",0,1165.00000003725,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",100,0,3,"Distance","1349.99999997672",40,"meters",0,0,1041.99999995762,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",100,-30,6,"Distance","2460.99999995204",20,"meters",0,0,3041.99999995762,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",75,-20,1,"Distance","2959.99999996275",30,"meters",0,944.000000017695,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",75,-20,3,"Heading","1641.00000000326",20,"",0,1819.0000000177,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",150,-10,6,"Heading","2222.99999999814",40,"",0,0,1301.99999996694,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",25,0,1,"Distance","875",10,"meters",0,1347.00000000885,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",50,0,1,"Heading","2589.00000003632",30,"",0,0,1036.00000002189,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",100,-10,1,"Heading","2109.99999998603",30,"",0,1100.00000003492,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",25,0,6,"Distance","3681.00000004051",20,"meters",0,0,1216.0000000149,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",15,-10,6,"Heading","2590.00000002561",10,"",0,0,831.999999994878,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",50,0,1,"Distance","2688.99999995483",10,"meters",0,2039.99999997905,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",15,-30,1,"Distance","3371.99999997392",10,"meters",0,0,1068.99999995949,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",25,-30,1,"Heading","8694.0000000177",20,"",0,1281.00000001723,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",100,0,6,"Heading","4683.00000001909",10,"",0,0,2829.99999995809,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",25,-20,3,"Distance","2519.99999996042",10,"meters",0,0,1266.00000000326,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",150,-30,1,"Distance","3816.99999998091",20,"meters",0,0,1106.00000002887,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
