"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight","dist_meters","estimate_err"
"sub12","WL",25,-20,6,"Number","1904",6,"",0,0,2784,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",50,0,3,"Number","2132",3,"",0,0,2577,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",15,0,3,"Number","1734",3,"",0,0,2354,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",200,-10,1,"Number","1760",1,"",0,0,1953,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",15,0,6,"Number","1931",6,"",0,0,2772,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",100,-20,3,"Number","1828",3,"",0,0,2022,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",25,-10,6,"Number","2466",6,"",0,0,2502,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",15,-20,6,"Number","1935",6,"",0,0,3206,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",15,-30,6,"Number","1962",5,"",0,0,3385,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,5,-1
"sub12","WL",50,0,1,"Number","2685",1,"",0,0,1347,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",75,0,3,"Number","2133",3,"",0,0,2022,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",25,0,6,"Number","1970",6,"",0,0,5619,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",100,-10,6,"Number","1756",5,"",0,0,4701,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,5,-1
"sub12","WL",75,-30,3,"Number","1972",3,"",0,0,2001,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",150,-30,3,"Number","1659",3,"",0,0,1561,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",100,-20,6,"Number","1811",6,"",0,0,4211,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",150,-10,6,"Number","1777",6,"",0,0,3264,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",25,0,3,"Number","1796",3,"",0,0,1755,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",15,-20,3,"Number","1695",3,"",0,0,1549,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",25,-10,3,"Number","1809",3,"",0,0,1385,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",200,-20,6,"Number","2046",5,"",0,0,3412,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,5,-1
